"","comicName","comicSummary","comicGrade"
"296","범죄사냥꾼:9직전쟁","범죄를 사냥하는형사","9.59"
"297","착한남자김우진","20대 남자의이야기","8.66"
"298","자유의경계","감옥액션스릴러","9.80"
"299","피오키노","악마와 소년","9.61"
"300","신과의대화","즐거운 이야기","9.78"
"301","허니허니2-느리지만괜찮아","초보아빠 육아일기","9.89"
"302","내과박원장","의사가그린 의사만화","9.83"
"303","가상&RPG","가상현실 액션RPG","9.88"
"304","왕과나","세자는 여인이다.","9.71"
"305","일찍자고일찍일어나기","아침형 뱀파이어","9.90"
"306","햇살주인공을악당으로키워버렸다","공주로 환생했다.","9.74"
"307","채똘일기","채똘일기","9.59"
"308","봄날의산보","봄날에 산보하듯","9.82"
"309","꽃이피는자리","기생 식물","9.68"
"310","문어숙희숙회","문어숙회를 위하여!","9.74"
"311","타이트엔드","미식축구 만화","9.45"
"312","귀염뽀짝애기뚱냥뽀냥이","귀염뽀짝한 애기뚱냥","9.83"
"313","사도신여랑傳","초 자유연재 입니다","9.50"
"314","FIX","타임리프호러","9.51"
"315","슈체나리움(Szenarium)","서막","9.02"
"316","츤데레","남정네 넷의 츤츤","9.87"
"317","래빗콤바치!","주짓떼라 생활툰","9.64"
"318","썰삽니다!PM사무소","이야기를 삽니다!","9.85"
"319","루텔","력家네","9.90"
"320","한국프로야구사","프로야구 역사만화","9.52"
"321","썸라대왕","현대로맨스판타지","9.55"
"322","루커피쳐","꿈이 뭐예요?","9.89"
"323","크림슨크로스","희망의 가치.","9.77"
"324","달콩달콩일상","바카와 호두","9.82"
"325","도례(道禮)","초능력의 기원","8.74"
"326","흑묘","검은 고양이 사냥꾼","9.73"
"327","얼어붙은아로와향기","청춘들의 쿨 로맨스","8.85"
"328","39℃","꿈을 이루는 끈기","7.86"
"329","우주n은하","우주에서 온 소녀들","9.86"
"330","찬란의날","'칩'이 나타났다.","9.84"
"331","곰팡남녀","보통의 경계","9.89"
"332","어쩌다햄스터","초보집사와 초보주인","9.81"
"333","좋아하는거참으면병나요!","좋아하는건 못참아","9.70"
"334","CAFE_쉬어가게","누구나 쉬어가는 곳","9.78"
"335","열여섯과스물그사이","툭탁 격정 로맨스","8.98"
"336","천사는야옹","고양이가 사실 천사","9.90"
"337","타고난자","우리의 그 시절","9.60"
"338","업사이클다이어리","버리면 애물단지 손대면 나만의 예술작품","9.68"
"339","누나한입만화","4컷 일상 먹툰","9.90"
"340","나는부활마법을가졌다","부활판타지","9.86"
"341","좀비가된세상에서마법사는","좀비와 마법사","9.30"
"342","디나운스","패션, 드라마","9.75"
"343","어둠의창","어둠의 끝에서...","9.55"
"344","너어는지인짜","당근 맛집","9.68"
"345","백일몽화원","7,17,27일연재","9.70"
"346","개판오분전","즐겨요이기분","9.65"
"347","왕립루브리카종합학원","판타지학원물","9.90"
"348","싸카소녀","소녀들의 스뽀오츠!","9.84"
"349","종이를주웠다","종이의 성장과 사랑","9.64"
"350","월국(月國)의프락세이스","소년과 세계,스피릿","9.63"
"351","고냥고냥","취준생 고냥이","9.90"
"352","금잔화가피는여름","동양 판타지","9.24"
"353","악인","현대판타지 스릴러","9.78"
"354","야귀록","귀신과 사람이야기","9.75"
"355","무쇠후라이팬","무쇠팬 쓰는 남자","9.90"
"356","어쩌다보니용사가","용사가 허접 쩌리?","9.64"
"357","개인적인택시","음악이 흐르는 택시","9.89"
"358","이클립스","자유연재","9.86"
"359","졸렬☆다이나믹","다이나믹 초딩들","9.90"
"360","어느새대학생","미대생의 대학생활","9.31"
"361","비공략캐릭터를공략하는방법","게임캐를 공략하라!","9.25"
"362","광고감독의발암일기","광고감독의 웃픈일상","9.65"
"363","고양이마법학교","마법배우는 고양이들","9.79"
"364","아수라게이트","아수라 죽이기","9.47"
"365","날개부러진새의노래","타인이 되는 두남녀","9.53"
"366","수능0등급","고3 vs 테러범","9.08"
"367","휠오브포춘","운명의 굴레","9.73"
"368","헨젤","지옥을 거니는 천사.","8.90"
"369","빨간물고기","엄마에 대한 애증","9.89"
"370","심연","비윤리적인 실험","9.76"
"371","달맞이꽃","동양판타지","9.82"
"372","용사님이시다","정통 판타지 만화?","9.85"
"373","풋내기들","청춘하숙 로맨스","9.53"
"374","이상징후(異常徵候)","초능력이 아닙니다.","9.85"
"375","애니메이킹","애니메이션 만들기","9.51"
"376","꽃밭에서","잊어버린 것","9.87"
"377","궤짝","어두운본성을마주하다","9.79"
"378","연애일기","소소한 연애 일상","9.90"
"379","웨일즈","인어와 인어사냥꾼","9.89"
"380","똥두","사춘기 소녀의 일상","9.69"
"381","잘먹는가","먹는게 낙인 가족들","9.77"
"382","여자공수혁","수혁이 학원기","9.90"
"383","망생이전투","기계가 일해주는줄","9.66"
"384","자체공강","대학물인척하는 만화","9.86"
"385","흐르는바닷불처럼","해귀에게서 살아남기","9.78"
"386","날것","해묵은 그림 일기장","8.77"
"387","월혼","여우인간의 생존사투","9.73"
"388","저승화랑전","악덕 상사와 나","9.90"
"389","버그트레인","NPC들의 생존기","9.84"
"390","처음이잖아","괜찮아. 처음이잖아","9.53"
"391","新조선왕조실록","조선왕조인계자이야기","9.83"
"392","저주와별가루","저주와 별가루","9.74"
"393","상그미상","일상툰!","9.89"
"394","엔드시즌","초딩들의 야구","9.56"
"395","강가네","사남매 가족 적응기","9.89"
"396","겨까게사랑한다","반려묘와자취라이프","9.49"
"397","판타스틱시니어","로라의 성장","9.88"
"398","마족사제","사제님은 마족?","9.89"
"399","위치파이와미드나잇주스","내 인생은 내 인생","9.84"
"400","번혼","용이 되어라!","9.09"
"401","용아","능력자 판타지","8.89"
"402","단편들","단편만화","9.90"
"403","발버둥치다","우울증 이야기","9.89"
"404","너나들이","20대남녀연애이야기","9.87"
"405","오마이갓","신을 뽑는 오디션","9.59"
"406","이웃집유부녀","일상툰","9.90"
"407","아옹아옹","두식이 냥육일기","9.86"
"408","여기야!헤드볼빌리지","헤드볼친구들의대모험","9.05"
"409","마왕이되는방법","자유연재","9.83"
"410","예쁜사나이","예쁜 사나이","9.58"
"411","쌍둥이부부일기","똑닮은 가족 일기","9.87"
"412","꿈무덤","꿈 속의 이야기","9.81"
"413","오늘밤야식을먹는다","오늘밤 야식 어때?","9.45"
"414","라떼는말이야","흑역사 파티원 모집","9.71"
"415","일주일지구체험","외계인과의 일주일","9.77"
"416","여캠조수희","일상 스릴러","9.49"
"417","베트남프렌즈여행기","여행장려웹툰","9.86"
"418","정령왕즈","정령왕들이 조잘조잘","9.88"
"419","횡설수설다이어리","40대 가장의 일상","9.33"
"420","나의애니메이터이야기","나는 애니메이터","9.42"
"421","할짝심리학","심리학 겉핥기","9.88"
"422","조선귀변사","사도세자의 퇴마기","9.55"
"423","저승길잡이","이승과 저승의 경계","9.90"
"424","아케미아아카데미","연금술사,학원물","9.86"
"425","너는나의나는너의수호천사","로맨스판타지","9.88"
"426","냥만연애툰","귀욤뽀짝 개그일상툰","9.53"
"427","52번지몬스터","설렘살벌 로맨스릴러","9.71"
"428","여왕의계절","시대극 판타지 웹툰","9.87"
"429","과한가족","조금 과한 그들","9.88"
"430","사랑하는계절","자유연재","9.78"
"431","틈","틈을파고드는 이야기","9.85"
"432","검은유성우","동양풍 이능력물","9.83"
"433","웰시네부부에세이","삶 그림에세이","9.59"
"434","천상대전","천상대전","9.87"
"435","별의아씨","-","9.59"
"436","검은늑대","검은 늑대","9.87"
"437","현의파편","소녀와 환상","9.76"
"438","무대에서지않지만배우입니다","배우 지망생 이야기","9.85"
"439","성장통소나타","예체능 로맨스","9.89"
"440","엘카림이들어줄게!","SF+판타지 액션.","9.78"
"441","팔재叭災","도사와 겨울아들","9.72"
"442","도담도담","두더지 모험 힐링","9.38"
"443","불편해요,선배님!","캠퍼스 로맨스","9.90"
"444","데뷔하고싶어요","아이돌연습생성장물","9.23"
"445","도와줘요사신님!","인간 되기 싫어요","9.55"
"446","바람따라물따라","역사인물만화","9.74"
"447","안녕톡톡","안녕하세요","8.94"
"448","너의뒤에서","사랑따위...","9.53"
"449","남주만9명?!","로맨스 판타지","9.66"
"450","무인도Vlog","무인도 생존Vlog","8.83"
"451","양치기소년","당신의 거짓말","9.79"
"452","가면","욕망 판타지","9.53"
"453","솔직히말해서","로맨스판타지개그만화","9.69"
"454","옆집에그녀가산다","옆집의 특별한그녀!","9.62"
"455","중등생활보고서","현실 중딩 보고서","8.98"
"456","테이커","17살의 킬러","9.85"
"457","악마법소녀","마법과 내뱉은 말","9.89"
"458","그날,우리들의여름.","여고 육상 성장기","9.80"
"459","바람과소원","꿈을 위해서라면","9.80"
"460","마법약사","포션장사하는 이야기","9.90"
"461","저는용사님이아닌데요!","마녀라고요!","9.69"
"462","내매력에퐁당","내 매력에 퐁당!","9.57"
"463","아파트용사","아싸인생 이세계로!","9.43"
"464","쏘판타지","So fantasy","9.87"
"465","컷","NG없인 성장도없다","9.65"
"466","어느남고생의하루","말하는강아지가사실은","9.88"
"467","은해갑을깝치","은해갑/깝치을","9.24"
"468","악마의육아일기","따뜻한 이야기","9.83"
"469","유진의환상특급열차","유진의 여행기","9.89"
"470","킬러5","다섯 명의 킬러들","9.82"
"471","이몸은신이니라!","카이즈","9.61"
"472","룩앤미","아름다움의 가치","9.50"
"473","헬로사이공","따뜻한 이야기들","9.88"
"474","모야툰","모야의 일상","9.69"
"475","살문(殺門)","살인과 관상","9.68"
"476","잠자던숲속의공주","잠자던 공주 귀환기","9.68"
"477","포도나무소녀","포도나무","9.77"
"478","바람과소원(구:바람을실은메아리)","꿈을 위한 거짓말을","9.49"
"479","연기는처음인데요?!","내가 연기천재였다니","9.79"
"480","좋운날","좋운날 보내셨나요?","9.90"
